"title","city","address","phone","imageUrl","website","rank","categoryName","url","totalScore","state"
"Sajag Clinic- Diabetes and Psychiatry (Dr.Kotkunde)","Chiplun","S R Plaza,Opp Nagar Parishad, Chinchanaka To Vad Naka Road, Khend, Chiplun, Maharashtra 415605, India","+91 2355 260 200","https://lh5.googleusercontent.com/p/AF1QipONJiFsM-UExcxpWcREGpj1STmhmA__2hRF2z2I=w408-h306-k-no",,"8","Diabetes center","https://www.google.com/maps/search/?api=1&query=Sajag%20Clinic-%20Diabetes%20and%20Psychiatry%20(Dr.Kotkunde)&query_place_id=ChIJcRRyHisGwjsRBEk1z224S2Q","4.3","Maharashtra"
"Saara Hospital","Kadegaon","opp. sonhira petrol pump, near tvs showroom, Kadegaon, Maharashtra 415304, India","+91 70300 48878","https://lh5.googleusercontent.com/p/AF1QipNQRNgBuH_xd1mLziv2yy7AdtDFtY7hecIzpSv7=w408-h306-k-no",,"23","Hospital","https://www.google.com/maps/search/?api=1&query=Saara%20Hospital&query_place_id=ChIJW8-Xh0N7wTsRJYZesIQewRw","5","Maharashtra"
"Shreyas Hospital","Mayani","Chandani Chowk, Mayani, Maharashtra 415102, India",,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=IFpt4H0zoM6r-Srsw9ILhA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=26.898184&pitch=0&thumbfov=100",,"22","Hospital","https://www.google.com/maps/search/?api=1&query=Shreyas%20Hospital&query_place_id=ChIJ4Ue9j_nfwzsRzK3I1oa-OaM","4.3","Maharashtra"
"Shri Govardhan Hospital","Amravati","WQH3+7V9, Amba Peth, Kanwar Nagar, Guruchhaya Colony, Amravati, Maharashtra 444601, India","+91 721 267 1512","https://lh5.googleusercontent.com/p/AF1QipOAVqtPmk17tsl2u2-uaG12y3VzieedooyfjtKR=w408-h884-k-no",,"47","Hospital","https://www.google.com/maps/search/?api=1&query=Shri%20Govardhan%20Hospital&query_place_id=ChIJi8SmEa-k1jsR3-cQnrrDTEw","3.2","Maharashtra"
"Dr. Arvind Shirbhate clinic,Amravati","Amravati","WQH2+5F4, Hambarde compound, Ambadevi Rd, Amravati, Maharashtra 444601, India",,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=J1ot3gzjQTkfFxdlVBACTA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=357.9839&pitch=0&thumbfov=100",,"46","Medical clinic","https://www.google.com/maps/search/?api=1&query=Dr.%20Arvind%20Shirbhate%20clinic%2CAmravati&query_place_id=ChIJP1Fsoa6k1jsRNLD5mE7ibkA","3.8","Maharashtra"
"UMANG HOSPITAL","Amravati","WQ69+J57, Lane Number 3, Jalaram Nagar, Dastur Nagar, Amravati, Maharashtra 444606, India",,"https://lh5.googleusercontent.com/p/AF1QipMBo31mu8JhWU0_rmNaYPbekJQUouxSt_AyvwUY=w408-h725-k-no",,"45","Hospital","https://www.google.com/maps/search/?api=1&query=UMANG%20HOSPITAL&query_place_id=ChIJ5aqqJ8Ck1jsRHkdawjP8OO0","4.2","Maharashtra"
"Synapse Child Development and Activity Centre - Amravati","Amravati","Netranjali Polyclinic, Deepachan Road, Balaji Plot, Rajapeth, Amravati, Maharashtra 444601, India","+91 97665 47119","https://lh5.googleusercontent.com/p/AF1QipO1F0RMNqvVDv4LtmJRpuWFgH3PZTAalz3vX9nf=w408-h306-k-no","https://synapsecdc.com/","44","Child health care centre","https://www.google.com/maps/search/?api=1&query=Synapse%20Child%20Development%20and%20Activity%20Centre%20-%20Amravati&query_place_id=ChIJw8aRF8Kl1jsRyT8JpaJBfqU","4.7","Maharashtra"
"Dr Amol gulhane","Amravati","पंडित कॉम्प्लेक्स हर्ष फोटो स्टुडिओ च्या बाजूला हनुमान मंदिराजवळ, रोड राजकमल चौक, Rajapeth, Amravati, Maharashtra 444601, India",,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Qz2vrqdO7ZktJBGWPyqqrA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=15.119497&pitch=0&thumbfov=100",,"43","Hospital","https://www.google.com/maps/search/?api=1&query=Dr%20Amol%20gulhane&query_place_id=ChIJKxhjhHul1jsR9bfHS3hSVc4","4.8","Maharashtra"
"Mann Counselling Center","Amravati","Hantodkar Children Hospital, Sai Nagar, Amravati, Maharashtra 444607, India","+91 83692 72813",,,"42","Psychotherapist","https://www.google.com/maps/search/?api=1&query=Mann%20Counselling%20Center&query_place_id=ChIJAQAAANC61jsRnpu6JOrbzfc",,"Maharashtra"
"Dr Laxmikant Rathi","Amravati","Kamla Niket, Pannanal Nagar, Amravati, Maharashtra 444601, India",,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=rMAcAOgvCNpeqAuPkL0Ifg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=251.75623&pitch=0&thumbfov=100",,"37","Hospital","https://www.google.com/maps/search/?api=1&query=Dr%20Laxmikant%20Rathi&query_place_id=ChIJs3grxEil1jsR-qR7NgbZf5Q","5","Maharashtra"
"Dr. Romil Warkari","Amravati","Block No.6, near Irwin Hospital, Khaparde Bagicha, Maltekdi, Amravati, Maharashtra 444602, India","+91 76207 05742",,,"20","Doctor","https://www.google.com/maps/search/?api=1&query=Dr.%20Romil%20Warkari&query_place_id=ChIJT0YJ0qak1jsRQgkzW1fpBYY",,"Maharashtra"
"Manas Clinic","Amravati","Rukhmini Nagar, Vivekanand Colony, Amravati, Maharashtra 444606, India","+91 94221 90700","https://lh5.googleusercontent.com/p/AF1QipN9Edj02w1VgDil6bRwIsY6Cl8zLA2fW_5Xr6DA=w408-h641-k-no","https://book-appointment.healthplix.com/dr-srikant-b-deshmukh-psychiatry-rukhmini-nagar-amravati","19","Doctor","https://www.google.com/maps/search/?api=1&query=Manas%20Clinic&query_place_id=ChIJ97INnqOk1jsRG6tihxwEqy4","3.9","Maharashtra"
"Manoday Mansopchar and Dantchikitsalay","Amravati","MH MSH 6, Patvipura, Amravati, Maharashtra 444601, India",,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=6OWP_UhVYSkF9LBSUqXXTw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=257.87582&pitch=0&thumbfov=100",,"18","Mental health clinic","https://www.google.com/maps/search/?api=1&query=Manoday%20Mansopchar%20and%20Dantchikitsalay&query_place_id=ChIJkxnDYFCl1jsRezbgeR7fuNw",,"Maharashtra"
"Dr.Priyankaveera","Amravati","WPGX+XHP Shreeji, Ambadevi Rd, opp. HVPM, Amravati, Maharashtra 444601, India",,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=J65nPRjRSS3BHriE4wDGHA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=118.91369&pitch=0&thumbfov=100",,"17","Psychologist","https://www.google.com/maps/search/?api=1&query=Dr.Priyankaveera&query_place_id=ChIJh-6vT6yk1jsRQhWvKmdI5Sc",,"Maharashtra"
"Khandewale Eye Hospital and Psychiatry Clinic","Amravati","14, Deeparchan Road, near Rajapeth square, Mudholkar Peth, Amravati, Maharashtra 444605, India","+91 721 256 0178","https://lh5.googleusercontent.com/p/AF1QipO_OnIFephdQmfZ0QCd7ri1y9AE2PDpY6Xuy8dR=w427-h240-k-no","http://www.khandewalehospital.com/","16","Ophthalmology clinic","https://www.google.com/maps/search/?api=1&query=Khandewale%20Eye%20Hospital%20and%20Psychiatry%20Clinic&query_place_id=ChIJiTsBx7Gk1jsRz1lsYl3G0zI","3.6","Maharashtra"
"Dr. Ashish Saboo","Amravati","2nd floor, Vidarbha Plaza, near Panchsheel Cinema, Amravati, Maharashtra 444601, India",,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=YKLg0P_MAKBZNpWSZiGnIA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=254.31387&pitch=0&thumbfov=100","https://book-appointment.healthplix.com/dr-dr-ashish-sabu-psychiatry-amravati-amravati","15","Doctor","https://www.google.com/maps/search/?api=1&query=Dr.%20Ashish%20Saboo&query_place_id=ChIJxUw0eyOl1jsRviE-o8rbZGE","5","Maharashtra"
"Mann-Swar Clinic","Amravati","Ganeshlila medicals, Rajkamal Square, Badnera Rd, near ESSBEE showroom, Amravati, Maharashtra 444601, India",,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=xUhioQCahp0m0vgR7g7ccA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=284.2639&pitch=0&thumbfov=100",,"14","Psychiatrist","https://www.google.com/maps/search/?api=1&query=Mann-Swar%20Clinic&query_place_id=ChIJW4zUdOql1jsR-jX4Md9K5RA",,"Maharashtra"
"Dr Preeti Dudhe's & Dr Abhishek Samarth's Pushprang ENT And Psychiatry clinic","Amravati","VPWV+XJ7 chandravati colony, Keshav Kunj, Guruchhaya Colony, Sai Nagar, Amravati, Maharashtra 444607, India",,"https://lh5.googleusercontent.com/p/AF1QipMblQASZF-3xWUrP7S1FAn92fLNzZJCu5SmUkED=w533-h240-k-no",,"13","Hospital","https://www.google.com/maps/search/?api=1&query=Dr%20Preeti%20Dudhe's%20%26%20Dr%20Abhishek%20Samarth's%20Pushprang%20ENT%20And%20Psychiatry%20clinic&query_place_id=ChIJczAyTgC71jsRfooeCEHgWbQ","5","Maharashtra"
"Blossom Counseling Services","Amravati","103, Sitaram Apartment, Balaji Plot, behind Dr. Parwani Hospital, Madhokar Peth, Amravati, Maharashtra 444601, India","+91 94234 25900","https://lh5.googleusercontent.com/p/AF1QipNbkrikO0egbFFArJd7ZYIympPMiE2jGJ8J7u36=w427-h240-k-no",,"12","Psychologist","https://www.google.com/maps/search/?api=1&query=Blossom%20Counseling%20Services&query_place_id=ChIJ4xpaHYGl1jsROzUvrK2Jdu0","4.9","Maharashtra"
"Dr Punam Gulhane","Amravati","WQFG+3GW, Amravati Old Bypass Rd, Shyam Nagar, Amravati, Maharashtra 444606, India",,"https://lh5.googleusercontent.com/p/AF1QipOEyHvvIxe3YdZyjTQbew0Gujt8uV9K5Hzkddwm=w533-h240-k-no",,"11","Medical clinic","https://www.google.com/maps/search/?api=1&query=Dr%20Punam%20Gulhane&query_place_id=ChIJKcwJiPil1jsRPma1mJIP8EM","4.7","Maharashtra"
"Antarman Mind Care- Best Psychiatric In Amravati | Counselor Near Me | Best Deaddiction Center Amravati","Amravati","1st Floor, Rohankar Hospital, Rukhmini Nagar, Vivekanand Colony, Amravati, Maharashtra 444606, India","+91 96536 13524","https://lh5.googleusercontent.com/p/AF1QipP3M6PrTu134L016fNReUqGesxzOxdQSpxhqhg=w408-h306-k-no",,"10","Hospital","https://www.google.com/maps/search/?api=1&query=Antarman%20Mind%20Care-%20Best%20Psychiatric%20In%20Amravati%20%7C%20Counselor%20Near%20Me%20%7C%20Best%20Deaddiction%20Center%20Amravati&query_place_id=ChIJQVEj5mGl1jsRitGLYH06GLw","5","Maharashtra"
